2007,166,14
1992,13,19
1996,11,14
2013,59,40
1996,89,9
2007,120,31
1997,13,11
2014,145,7
2017,89,21
2009,75,40
2016,23,37
2016,11,5
2009,107,5
2007,170,35
1993,106,12
1981,108,32
2013,68,7
2017,141,40
1985,110,29
2000,193,10
1987,136,9
1986,146,9
2002,85,11
2005,45,18
2010,23,11
2002,140,30
1994,190,33
2008,199,29
2005,169,21
2004,67,27
2003,166,33
1989,138,26
2001,127,5
1984,29,31
1984,124,14
1986,59,24
2005,116,12
2017,170,40
1989,73,12
1985,69,22
2012,75,30
2001,166,12
2017,192,17
1991,85,25
1980,166,23
1998,149,30
2011,174,16
2008,156,8
2005,86,31
1983,182,21
2003,77,32
1982,112,14
2009,146,35
2012,198,28
1987,48,6
1993,189,11
2018,50,30
1997,78,18
1991,123,9
2007,6,13
1999,36,26
1996,149,20
1998,190,11
2014,35,29
1990,170,19
2010,178,18
2010,87,39
2001,91,9
1995,164,33
1981,138,15
1993,193,14
2016,55,38
1983,106,19
1988,148,16
1982,63,12
1983,87,5
1983,39,17
2018,179,13
2002,185,24
1993,69,29
2018,84,40
1999,149,27
1983,125,6
1986,76,26
2018,154,30
1986,141,14
1984,140,20
2006,196,27
1982,160,6
1987,168,21
1980,12,22
1999,47,29
2005,172,32
1997,161,26
1985,182,11
2007,42,40
1986,55,22
2009,61,29
2002,56,38
1985,114,40
1997,71,24
2018,104,5
1993,25,17
1999,43,18
1991,53,17
1988,28,8
2011,126,22
2000,195,40
1993,4,36
1997,62,7
1998,14,10
2006,10,28
2018,160,22
1981,2,12
1994,82,17
1987,46,9
1994,17,9
1987,140,35
1985,51,21
2011,58,27
1991,68,24
2006,87,28
1987,67,7
2003,69,11
1982,9,26
2012,16,21
2005,183,12
2003,83,22
1981,107,17
1994,151,23
2003,140,25
2013,120,22
1985,178,20
1980,161,16
1997,166,34
2005,119,12
1983,47,24
2008,67,35
2003,8,26
1993,198,32
2000,29,39
1992,199,6
2013,40,8
1982,53,18
2007,74,7
2011,155,27
2011,110,20
2016,48,32
2004,196,37
2002,123,17
2008,21,18
2015,96,19
2015,147,11
1983,58,30
2000,18,20
2018,76,17
2012,5,10
2015,115,7
1987,58,12
2001,174,40
1983,170,22
1989,85,12
2015,126,5
2001,23,33
1994,30,10
2011,184,33
1980,194,5
1990,86,33
2009,109,16
1994,111,7
2015,170,10
2001,161,8
1988,115,31
2009,151,23
1983,22,19
1994,129,36
1987,6,30
2018,170,21
2006,102,15
1982,108,33
2000,162,20
1995,12,18
1981,38,27
1998,23,35
2013,175,5
1991,78,25
2006,101,22
1989,103,16
2014,91,9
2009,46,27
1993,153,25
1982,29,19
1995,182,27
1994,138,18
1989,145,6
1983,95,29
2017,58,12
1980,61,24
1982,69,28
2003,114,37
2018,54,22
2008,80,29
1995,102,8
1981,193,32
2011,171,30
1986,36,23
1993,197,31
1996,25,14
1984,78,35
1980,83,13
1991,34,39
2013,92,11
1994,26,15
2008,184,9
1993,50,10
2009,16,20
1985,31,17
1995,188,28
1998,150,7
2018,92,23
2003,98,33
2007,65,8
1981,68,33
2005,124,39
2010,27,25
2005,44,23
1992,98,11
2016,77,12
2016,4,23
1993,131,29
2010,69,13
1985,126,5
2005,100,9
1984,198,9
1987,101,32
2013,35,8
2000,161,17
2002,173,5
1989,75,6
1982,144,22
1982,70,28
2007,196,6
1981,11,14
2014,86,39
2005,106,39
2011,127,12
1981,162,27
2018,140,25
1987,170,19
1981,57,40
1997,140,16
1980,139,12
2018,16,37
1995,170,34
1995,96,38
1988,154,29
2000,80,7
2002,131,13
1989,185,30
1981,69,19
2007,165,32
2001,178,19
1993,185,36
1988,174,12
1991,116,7
2010,145,23
1988,50,7
1993,94,15
1982,54,36
2006,180,32
2014,40,21
2018,152,37
1986,116,15
2011,183,23
1986,7,10
1980,188,11
1998,9,34
2014,32,38
1992,18,13
2000,130,23
1982,190,16
2010,127,33
1983,94,13
1991,149,30
1980,153,6
1985,112,40
2003,119,20
1995,18,35
1993,132,12
1994,25,18
1980,77,6
1988,60,18
2012,57,33
1991,42,31
1998,80,17
1983,1,37
1988,103,8
2003,107,23
1988,36,13
1982,33,19
2011,98,40
2015,13,39
1991,19,17
1992,191,25
2016,85,29
2018,198,26
2005,154,36
1991,74,16
1995,69,12
2000,199,17
1983,89,37
1982,31,10
1990,18,40
1984,196,26
2014,100,40
2001,187,28
1989,193,34
1995,67,18
2005,88,13
1995,167,10
2016,122,38
2001,116,14
2018,171,14
2003,175,5
2001,154,6
